title,genre,rating,duration,year,liked
Frozen Game,Thriller,9.1,92,2011,1
Shadow Truth,Drama,5.6,135,2023,1
Brave Memory,Animation,9.2,100,2015,0
Burning Memory,Thriller,8.9,91,1987,0
Golden Storm,Sci-Fi,9.5,92,1997,0
Last Light,Sci-Fi,8.6,125,1991,0
Golden Path,Sci-Fi,8.4,168,1988,1
Dark Echo,Sci-Fi,8.8,105,1985,0
Burning Horizon,Drama,8,105,1989,0
Hidden Night,Sci-Fi,5.7,91,2021,1
Lonely Legacy,Adventure,9,123,1989,0
Secret Truth,Fantasy,5.6,99,1991,1
Rising Memory,Animation,8.2,99,1988,1
Silent Truth,Thriller,8.4,88,2009,1
Rising Kingdom,Crime,8.1,109,2001,1
Frozen Flame,Drama,9,130,1989,1
Eternal Dream,Fantasy,9.4,134,2019,1
Rising Path,Drama,6.5,119,1998,0
Final Truth,Sci-Fi,5.7,109,1999,1
Secret Flame,Adventure,7.2,90,1998,1
Frozen Truth,Comedy,9.3,178,2002,1
Eternal Destiny,Crime,9.3,134,1991,0
Frozen Light,Romance,8.3,105,2000,1
Midnight River,Comedy,6.6,119,1989,0
Last Empire,Sci-Fi,6.8,133,2005,1
Shadow Promise,Fantasy,8.5,117,1997,0
Hidden River,Comedy,6.2,137,1991,0
Fallen Storm,Sci-Fi,6.3,161,2016,0
Fallen Flame,Comedy,7.8,173,2002,1
Dark Light,Fantasy,7.2,88,2001,0
Lonely Dream,Adventure,8.1,164,2001,1
Fallen City,Comedy,6.5,170,2019,0
Dark Horizon,Sci-Fi,7.9,91,1995,0
Lost Empire,Crime,6.2,106,1986,1
Eternal Truth,Thriller,5.7,95,2020,0
Burning Kingdom,Crime,5.7,164,1995,1
Ancient Dream,Animation,6.7,165,2022,0
Midnight Echo,Fantasy,7.7,107,1994,1
Frozen Promise,Animation,6.4,167,1993,1
Broken Empire,Crime,6,86,1997,1
Silent Legacy,Crime,9,148,2013,0
Burning Echo,Comedy,5.6,160,2013,1
Midnight Journey,Comedy,9.5,174,2011,0
Fallen Truth,Crime,5.7,171,2017,0
Crimson Kingdom,Action,7.4,135,1985,0
Lost City,Fantasy,7.1,97,2004,1
Golden Echo,Fantasy,8.1,150,1992,0
Crimson Empire,Crime,9.1,116,2023,0
Ancient Destiny,Sci-Fi,5.6,175,1998,0
Silent Horizon,Crime,9.2,128,1996,0
Eternal Horizon,Comedy,8.7,85,2001,1
Last Kingdom,Fantasy,6.3,150,2022,1
Dark City,Crime,7.5,160,2008,1
Golden Game,Comedy,8.4,123,1995,0
Crimson Path,Adventure,6.4,142,2019,1
Shadow Storm,Romance,6.7,99,2009,1
Golden Truth,Romance,5.7,120,2013,0
Crimson Storm,Animation,9.1,142,2017,0
Frozen Night,Adventure,9.1,120,2008,1
Secret Legacy,Fantasy,5.5,145,2009,1
Hidden Destiny,Adventure,7.1,121,2011,1
Frozen Kingdom,Comedy,5.9,125,2019,0
Rising Game,Adventure,6.8,119,2021,0
Hidden World,Crime,7.8,150,2013,0
Burning Empire,Animation,8.3,88,2015,0
Ancient Flame,Comedy,7.7,147,2009,0
Broken Game,Sci-Fi,8.5,120,2017,0
Broken Flame,Animation,5.9,88,1995,1
Crimson Promise,Fantasy,7.8,157,2004,0
Golden Memory,Fantasy,8.7,161,2019,1
Shadow Destiny,Fantasy,7.4,140,2003,0
Final Storm,Adventure,7.1,108,1987,0
Ancient Storm,Drama,9.3,121,2020,0
Last River,Comedy,7.7,117,2006,1
Lost World,Romance,8,180,1993,0
Lonely Empire,Animation,6.4,98,2004,1
Golden Night,Drama,9,91,1988,0
Burning Path,Sci-Fi,6.3,150,1998,1
Dark Legacy,Romance,9.2,156,1998,0
Broken Light,Fantasy,8,147,2008,1
Broken Horizon,Comedy,7.6,90,1994,0
Shadow Path,Action,8,86,2003,0
Dark Game,Adventure,6.6,111,1998,0
Frozen Memory,Romance,6.5,85,2013,1
Last Night,Action,6.9,90,1994,1
Fallen Dream,Crime,7.6,103,2013,1
Burning Promise,Crime,6.2,165,2020,0
Eternal Path,Comedy,8.4,113,2020,0
Silent Journey,Romance,8.7,129,1991,0
Broken Kingdom,Crime,6.2,131,1989,0
Broken City,Comedy,8.4,148,1988,0
Brave Legacy,Crime,6.1,112,1995,1
Hidden Light,Romance,5.9,103,2011,0
Last Truth,Fantasy,8.7,170,2017,1
Midnight Memory,Drama,9.3,109,1992,0
Midnight Dream,Sci-Fi,5.6,162,2002,0
Shadow Horizon,Comedy,8.6,142,1999,0
Golden Journey,Thriller,7.4,110,1985,0
Secret Game,Drama,6.9,92,1992,1
Eternal Storm,Comedy,8.2,174,1999,0
Broken Memory,Thriller,8.3,130,2011,1
Last City,Crime,7,111,1997,0
Brave Storm,Sci-Fi,7.6,162,2018,1
Hidden Echo,Action,8.7,129,1993,0
Secret Empire,Romance,7,112,1987,1
Brave Dream,Sci-Fi,7.6,140,2015,1
Last Horizon,Romance,8.2,123,1995,1
Silent Path,Fantasy,8.8,152,2016,0
Last Promise,Romance,8.2,163,2024,1
Lost Path,Fantasy,5.7,141,1987,1
Eternal Night,Sci-Fi,6.8,164,1996,1
Secret Journey,Sci-Fi,5.8,135,2003,0
Burning Flame,Adventure,9,148,2024,1
Lost River,Animation,8.5,166,2005,0
Ancient World,Action,6.5,161,1993,0
Eternal Echo,Comedy,6.5,170,2013,0
Hidden Truth,Adventure,8,86,2001,1
Secret Path,Thriller,5.8,171,2023,0
Burning River,Drama,6.1,162,1992,1
Rising Echo,Drama,6.9,126,2014,1
Golden Destiny,Thriller,5.8,115,2004,1
Final Memory,Thriller,8.1,171,2000,1
Secret Kingdom,Crime,7.1,100,2013,1
Lost Echo,Thriller,8.2,176,2011,0
Last Path,Action,8.1,137,2007,0
Lost Game,Thriller,8.6,127,2022,1
Rising Destiny,Fantasy,9.5,120,2020,0
Silent Memory,Romance,8.8,85,2019,1
Burning Legacy,Comedy,9.1,152,2010,0
Eternal Flame,Romance,9,124,2023,1
Dark World,Animation,6,170,1995,1
Lonely Journey,Action,8.1,105,1991,0
Golden Light,Thriller,6.2,161,1985,0
Brave Flame,Romance,7.6,94,2001,0
Shadow City,Action,8.2,166,2006,1
Burning Light,Romance,7.1,124,1992,1
Eternal Kingdom,Adventure,9.1,119,2014,1
Secret Echo,Thriller,9.2,140,2020,0
Lonely Storm,Thriller,7.7,136,2005,1
Brave Echo,Fantasy,6.4,142,2010,0
Lost Dream,Fantasy,6.7,91,2018,0
Crimson Legacy,Animation,5.7,86,2018,1
Hidden City,Thriller,6.3,141,2024,0
Midnight Storm,Thriller,6.1,137,1998,1
Midnight Kingdom,Sci-Fi,8.8,159,2006,1
Final Night,Crime,8.1,111,2012,1
Midnight Destiny,Adventure,8.4,139,1989,0
Golden Flame,Comedy,9,103,2007,0
Final Echo,Crime,6.5,123,1997,1
Crimson Echo,Fantasy,7.9,162,2009,1
Broken Journey,Fantasy,8.3,112,1993,0
Ancient Night,Animation,8.7,166,1995,0
Broken Truth,Comedy,7,155,2006,0
Lost Storm,Romance,8.2,131,1985,0
Hidden Journey,Romance,6.5,102,1987,1
Crimson River,Drama,6.7,150,1997,0
Ancient Truth,Action,7.1,112,1996,1
Fallen Journey,Animation,7.3,87,2012,0
Dark Night,Romance,9.4,154,2020,1
Crimson Destiny,Action,9.2,120,2022,0
Rising River,Adventure,8,121,2002,1
Dark Storm,Thriller,6.7,128,2004,1
Fallen Path,Drama,9.4,126,2014,1
Eternal Memory,Thriller,7.8,136,1985,0
Final Empire,Comedy,6.1,178,2013,1
Broken Storm,Thriller,5.6,137,2014,1
Shadow Game,Romance,6.5,133,1994,1
Silent Destiny,Animation,8.1,152,1996,1
Crimson Dream,Fantasy,7.8,147,1993,0
Burning Journey,Romance,7.3,162,2024,0
Brave Destiny,Animation,8,151,2004,1
Lost Kingdom,Drama,8.7,173,2000,1
Lonely Kingdom,Romance,8.9,176,2007,0
Rising Flame,Animation,8,85,1985,0
Last Dream,Romance,8.4,177,1991,1
Dark Destiny,Thriller,6.1,140,2024,1
Dark Promise,Drama,7.5,128,1985,0
Last Journey,Crime,8.1,126,2021,1
Final Journey,Drama,8.4,156,2015,1
Final Path,Comedy,6.5,129,1986,0
Frozen Echo,Romance,6,137,2011,0
Frozen Path,Drama,8.4,176,2002,1
Midnight Night,Adventure,6.3,157,2020,0
Golden River,Animation,5.9,113,1987,0
Silent Game,Romance,6.4,120,2009,0
Lonely Truth,Sci-Fi,7.6,108,1993,0
Midnight Flame,Animation,7.9,133,1987,1
Eternal Legacy,Adventure,7.2,173,2017,0
Lonely Horizon,Adventure,6.3,109,2007,1
Brave River,Sci-Fi,6.5,141,1989,0
Crimson City,Adventure,6,100,1993,0
Lonely Flame,Crime,7.9,147,1994,0
Golden Dream,Fantasy,6.2,176,1995,0
Shadow Memory,Crime,7.1,179,2018,0
Rising City,Fantasy,6.4,134,1998,0
Fallen Echo,Crime,6.8,160,1994,1
Silent Promise,Fantasy,9.4,168,1988,0
Brave Game,Adventure,5.9,137,1989,0
Hidden Storm,Comedy,8.7,113,2017,0
Eternal Journey,Action,6.6,178,2004,0
Golden World,Crime,6.1,136,2011,1
Brave Light,Sci-Fi,6.3,148,1989,1
Broken Promise,Action,6.9,179,2002,1
Lonely Path,Romance,9,134,2023,0
Rising World,Comedy,6.4,89,1994,1
Frozen City,Action,9.4,174,1992,0
Fallen Game,Sci-Fi,5.8,105,1994,1
Silent Flame,Adventure,7.9,128,2021,1
Dark Kingdom,Thriller,7.8,160,2009,0
Fallen Memory,Crime,8.8,175,2017,0
Final Horizon,Adventure,6.2,176,2018,1
Rising Journey,Action,7.7,136,1993,1
Rising Horizon,Drama,8.8,141,2016,0
Frozen River,Sci-Fi,5.7,148,2004,1
Lonely Promise,Fantasy,8,151,2022,1
Brave Kingdom,Animation,5.7,110,1990,0
Shadow Night,Action,8,121,1994,0
Brave Horizon,Fantasy,5.7,96,2023,0
Eternal Game,Adventure,6.1,92,1991,1
Rising Dream,Action,8.8,176,1992,0
Lonely Light,Thriller,8.3,114,1989,0
Burning Night,Fantasy,8.3,161,1999,0
Final River,Romance,9,139,2013,1
Last Memory,Adventure,8.1,133,1986,0
Ancient Echo,Adventure,8.8,155,2015,1
Silent City,Romance,8.4,88,2011,1
Lonely Destiny,Fantasy,7.1,100,1989,1
Last Storm,Animation,6.9,152,2020,1
Fallen Empire,Crime,6.2,143,1996,0
Midnight Truth,Sci-Fi,5.6,142,2008,0
Fallen World,Fantasy,8.1,171,2000,1
Hidden Path,Action,9.3,139,1987,1
Silent World,Crime,7.5,151,2005,0
Hidden Flame,Action,6.5,117,1993,0
Ancient Kingdom,Romance,8.3,106,2010,0
Ancient Path,Crime,5.7,124,1993,1
Fallen Destiny,Adventure,6.8,108,2004,1
Secret Memory,Thriller,9.3,92,2020,1
Silent Kingdom,Thriller,8.6,179,2018,0
Final Kingdom,Adventure,7.6,106,2000,0
Last Legacy,Adventure,5.8,91,2019,1
Midnight Promise,Thriller,5.5,90,2019,1
Secret Horizon,Sci-Fi,6.5,93,1994,1
Lost Destiny,Romance,6.2,98,2006,0
Secret Light,Drama,7.9,103,2020,0
Broken Destiny,Crime,8.8,162,1992,0
Fallen Kingdom,Crime,9.4,119,1985,1
Lonely World,Fantasy,7,107,2005,0
Hidden Memory,Sci-Fi,8.7,113,2018,0
Ancient Promise,Sci-Fi,6.7,125,1995,1
Hidden Legacy,Romance,8.2,108,2018,1
Hidden Promise,Romance,8.9,163,1985,0
Last World,Fantasy,6.2,168,2022,0
Secret World,Animation,5.6,148,2002,0
Lost Light,Thriller,7.1,142,2003,0
Midnight Horizon,Action,7.8,173,2019,0
Dark River,Comedy,8.3,104,1986,1
Lonely City,Animation,8.7,169,2006,1
Eternal World,Crime,7.9,139,2005,0
Hidden Game,Sci-Fi,7.4,133,1996,0
Lost Memory,Crime,6.7,109,1996,1
Dark Memory,Fantasy,7.3,120,1990,0
Dark Truth,Animation,8,130,2015,0
Dark Journey,Thriller,9.1,109,2017,0
Frozen Legacy,Action,6.6,127,1987,0
Last Game,Crime,8.1,134,1994,1
Crimson Flame,Romance,6.5,114,1991,0
Shadow World,Thriller,7.6,87,2001,1
Silent Light,Comedy,7.8,98,1985,1
Crimson Journey,Action,8.5,102,2003,0
Brave Empire,Crime,6.5,163,2003,0
Silent Echo,Animation,6.1,160,2001,1
Final Destiny,Sci-Fi,7.6,105,1996,0
Eternal River,Sci-Fi,7.8,163,2019,1
Ancient Empire,Fantasy,7.9,107,2017,1
Burning City,Crime,5.7,97,2024,1
Midnight Legacy,Animation,5.6,129,1998,0
Fallen Horizon,Crime,8.3,162,2016,1
Secret Promise,Drama,9.2,136,2002,1
Crimson Horizon,Thriller,8.6,165,1991,1
Eternal Promise,Fantasy,9,124,1999,0
Final World,Crime,8.6,159,2016,1
Shadow Empire,Fantasy,7,148,1994,1
Midnight Game,Romance,6.2,156,2000,1
Lonely Memory,Action,7,160,2024,0
Frozen Destiny,Fantasy,6,130,1987,1
Frozen World,Sci-Fi,7.8,113,2004,0
Shadow River,Romance,6.1,96,1986,1
Crimson Game,Fantasy,8.1,143,2017,0
Frozen Empire,Crime,6.5,99,1989,0
Midnight Empire,Romance,6.1,160,2001,1
Rising Truth,Fantasy,8.2,146,2000,0
Midnight City,Romance,7.7,101,1996,1
Broken River,Crime,8.7,163,2017,0
Lost Horizon,Animation,7.4,85,2011,1
Eternal Light,Drama,6.4,85,2024,0
Fallen Legacy,Sci-Fi,5.5,117,1985,1
Burning Game,Crime,8.4,115,1985,0
Lost Truth,Drama,8.9,96,2020,1
Secret Night,Sci-Fi,8.8,100,1990,1
Lost Legacy,Romance,7.9,168,2011,0
Rising Empire,Romance,8.4,102,2014,1
Frozen Dream,Comedy,6,154,2016,0
Broken World,Fantasy,9.3,170,1989,0
Fallen River,Sci-Fi,6.5,138,1989,0
Brave World,Crime,7.3,173,1986,0
Brave Truth,Action,7.9,143,1997,1
Dark Flame,Romance,7.2,98,2021,1
Golden Promise,Comedy,8.6,145,1986,1
Broken Night,Crime,7.9,117,2013,1
Crimson World,Crime,8.9,90,1989,1
Fallen Promise,Sci-Fi,6.7,178,2006,0
